"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2024","74.82","76.22","76.25","74.38","5.17M","-2.02%"
"08/23/2024","76.36","74.67","76.45","74.33","5.69M","4.08%"
"08/22/2024","73.37","76.97","77.00","73.11","7.23M","-4.32%"
"08/21/2024","76.68","76.96","77.94","75.89","5.33M","1.13%"
"08/20/2024","75.82","76.78","77.08","75.21","5.06M","-2.44%"
"08/19/2024","77.72","75.64","77.77","75.01","5.01M","2.48%"
"08/16/2024","75.84","75.00","76.48","74.82","5.39M","-0.05%"
"08/15/2024","75.88","73.00","76.62","72.82","8.37M","6.75%"
"08/14/2024","71.08","73.05","73.24","70.28","5.07M","-2.51%"
"08/13/2024","72.91","71.39","73.34","70.72","5.65M","3.61%"
"08/12/2024","70.37","71.32","71.66","69.61","3.96M","-1.30%"
"08/09/2024","71.30","70.97","71.89","69.92","4.28M","-1.29%"
"08/08/2024","72.23","68.95","72.48","68.23","9.54M","8.80%"
"08/07/2024","66.39","70.08","71.21","66.18","7.37M","-3.09%"
"08/06/2024","68.51","69.02","70.72","67.45","6.39M","-0.67%"
"08/05/2024","68.97","66.85","71.92","66.51","10.31M","1.50%"
"08/02/2024","67.95","69.50","69.85","67.13","11.55M","-5.49%"
"08/01/2024","71.90","76.28","76.90","70.98","11.57M","-8.12%"
"07/31/2024","78.25","75.80","79.45","74.83","11.05M","5.79%"
"07/30/2024","73.97","77.80","78.19","73.76","11.85M","-5.49%"
"07/29/2024","78.27","75.90","80.08","75.50","22.29M","11.54%"
"07/26/2024","70.17","69.15","70.78","68.66","7.77M","3.89%"
"07/25/2024","67.54","67.84","70.72","66.78","9.67M","-3.67%"
"07/24/2024","70.11","73.10","73.69","69.95","8.14M","-4.47%"
"07/23/2024","73.39","75.00","75.39","72.82","7.56M","-5.10%"
"07/22/2024","77.33","75.34","77.56","73.76","7.76M","6.62%"
"07/19/2024","72.53","75.03","75.37","72.02","6.34M","-3.84%"
"07/18/2024","75.43","76.29","77.95","74.96","5.72M","-0.04%"
"07/17/2024","75.46","77.32","78.01","75.28","9.93M","-4.17%"
"07/16/2024","78.74","76.65","78.76","76.14","3.56M","3.10%"
"07/15/2024","76.37","75.76","77.91","75.53","4.89M","-0.65%"
"07/12/2024","76.87","74.86","78.31","74.34","5.95M","3.54%"
"07/11/2024","74.24","75.89","76.99","74.19","7.40M","-3.07%"
"07/10/2024","76.59","74.44","76.72","74.19","5.69M","4.23%"
"07/09/2024","73.48","74.56","74.57","72.37","5.86M","-2.04%"
"07/08/2024","75.01","73.12","75.15","73.04","4.72M","2.22%"
"07/05/2024","73.38","73.15","74.67","72.77","3.03M","0.96%"
"07/03/2024","72.68","73.36","74.60","72.35","3.91M","-0.33%"
"07/02/2024","72.92","70.10","72.96","70.10","5.80M","5.41%"
"07/01/2024","69.18","68.96","69.87","67.79","4.69M","0.92%"
"06/28/2024","68.55","68.19","69.38","67.80","5.26M","1.02%"
"06/27/2024","67.86","67.85","68.39","67.35","3.81M","-0.45%"
"06/26/2024","68.17","67.52","68.63","67.46","3.59M","0.49%"
"06/25/2024","67.84","68.13","68.54","66.76","4.49M","0.07%"
"06/24/2024","67.79","68.20","69.38","67.48","4.97M","-1.07%"
"06/21/2024","68.52","67.82","69.09","67.50","9.84M","1.32%"
"06/20/2024","67.63","69.18","69.68","67.18","8.42M","-4.38%"
"06/18/2024","70.73","70.61","71.45","70.36","4.32M","0.00%"
"06/17/2024","70.73","71.89","71.93","69.38","6.76M","-1.72%"
"06/14/2024","71.97","73.34","73.96","71.50","4.53M","-4.09%"
"06/13/2024","75.04","74.17","76.70","74.00","4.78M","-1.55%"
"06/12/2024","76.22","75.50","77.22","75.11","6.67M","3.03%"
"06/11/2024","73.98","73.12","74.44","72.16","4.29M","0.65%"
"06/10/2024","73.50","71.59","73.99","71.50","5.33M","1.65%"
"06/07/2024","72.31","72.30","72.56","71.21","3.83M","-0.19%"
"06/06/2024","72.45","74.18","74.25","72.30","6.56M","-2.80%"
"06/05/2024","74.54","72.45","74.60","71.86","6.27M","4.22%"
"06/04/2024","71.52","73.05","73.45","70.90","3.72M","-2.28%"
"06/03/2024","73.19","74.01","74.49","71.35","3.65M","0.21%"
"05/31/2024","73.04","71.85","73.20","70.64","5.74M","1.29%"
"05/30/2024","72.11","71.05","72.47","70.61","3.57M","1.55%"
"05/29/2024","71.01","71.95","72.52","70.89","4.96M","-3.58%"
"05/28/2024","73.65","72.43","75.34","72.42","5.79M","1.50%"
"05/24/2024","72.56","72.46","73.23","71.82","5.17M","1.27%"
"05/23/2024","71.65","76.67","76.73","71.29","9.59M","-6.08%"
"05/22/2024","76.29","74.24","77.20","73.91","8.19M","4.77%"
"05/21/2024","72.82","73.15","73.35","72.15","4.33M","-1.97%"
"05/20/2024","74.28","73.07","74.79","72.88","4.50M","1.52%"
"05/17/2024","73.17","73.43","73.86","72.69","3.84M","0.23%"
"05/16/2024","73.00","74.46","74.65","72.92","5.43M","-2.33%"
"05/15/2024","74.74","74.42","74.84","72.88","6.42M","2.40%"
